"ID","SMILES","HOMO","LUMO","LUMO+1","f(S1)","f(S2)","E(S1)","E(T1)","dS1T1","EHOMO","ELUMO","ΔELL+1","fmax","ΔES1T1","consensus Log Po/w","λ"
"AJIBOM","FC(F)(F)c1cc(c2ccc(nc2n1)N(c1ccccc1)c1ccc2c(n1)nc(cc2C(F)(F)F)C(F)(F)F)C(F)(F)F",-7.84150483,-2.15459747,-1.84465979,0.4603,0.1266,3.77160002256379,3.18370375101699,0.58789627154681,"","","","","","",""
"AJIGAB","CN(C)c1ns2N=S=Ns(n1)n2",-8.00613371,-2.21010869,0.32299914,0.0027,0.0022,3.21770001925006,2.49472454300857,0.72297547624149,"","","","","","",""
"AJIGEF","Cc1ccc(cc1)c1ns2N=S=Ns(n1)n2",-8.10273413,-2.63814378,-0.68926438,0.002,0.0024,3.10900001859976,2.9170237419929,0.19197627660685,"","","","","","",""
"AJIGIJ","Fc1ccc(cc1)c1ns2N=S=Ns(n1)n2",-8.40559684,-2.77501705,-0.81688578,0.0018,0.0024,3.12850001871642,2.45037651610909,0.678123502607329,"","","","","","",""
"AJIGUV","Fc1cccc(F)c1c1ns2N=S=Ns(n1)n2",-8.6129476,-2.77066323,-0.74178236,0.0016,0.0017,3.083300018446,2.43005532587396,0.653244692572049,"","","","","","",""
"AJIHAC","N#Cc1ccc(cc1)c1ns2N=S=Ns(n1)n2",-8.87063941,-2.88984909,-1.61336302,0.0014,0.0024,3.21420001922913,3.03346778935318,0.18073222987595,"","","","","","",""
"AJOPEW","C=C1CCOC(C1)c1ccccc1OS(=O)(=O)c1ccc(cc1)N(=O)=O",-8.30926854,-2.13854275,-0.74722463,0.0013,0.0001,3.73590002235022,3.49586241997988,0.240037602370339,"","","","","","",""
"AKAPIL","CC(C)(C)c1ccc2C(=O)C(=O)C(=Cc2c1)C(C)(C)C",-8.09457071,-2.18806747,-0.41415728,0.0,0.0,2.24580001343562,2.11026076129839,0.13553925213722,"","","","","","",""
"AKATIQ","COc1ccc(cc1)c1c(OS(=O)(=O)C(F)(F)F)ccc2C(=O)c3ccccc3C(=O)c12",-7.60884749,-2.31378407,-1.23975069999999,0.0024,0.0009,2.97660001780766,3.20809032218009,-0.231490304372421,"","","","","","",""
"AKOWII","COCCOC(=CC(=NNc1ccc(cc1N(=O)=O)N(=O)=O)c1ccc(Cl)cc1)C(F)(F)C(F)(F)C(F)(F)F",-7.80313678,-2.15867918,-1.81554361,0.5474,0.0015,3.64750002182137,3.08245181992302,0.56504820189834,"","","","","","",""
"AKUFOD","O=C(OCc1ccc(cc1)N(=O)=O)C1=CC(=Cc2ccccc2N1)C(=O)OCc1ccc(cc1)N(=O)=O",-7.18707102,-2.16384934,-1.42342755,0.045,0.0013,2.38760001428395,1.78499583756484,0.60260417671911,"","","","","","",""
"AKUSIK","c1ccc2c(c1)c1ccc3cccc4c3c1c2c1c2cccc3ccc5c6ccccc6c(c5c23)c41",-6.16229026,-2.49555612,-0.54667673,0.4629,0.001,2.22450001330819,1.30793046080227,0.91656955250592,"","","","","","",""
"ALAGUR","CN(N=CC1=CC=C(S1)N(=O)=O)C(=O)C1=CC=CS1",-7.94790135,-2.19895203,-0.76899374,0.0343,0.5037,3.61660002163651,2.7692302742522,0.84736974738431,"","","","","","",""
"ALAHAY","O=C(CC1=CC=CS1)NN=CC1=CC=C(S1)N(=O)=O",-7.69293067,-2.35215212,-0.56762949,0.0086,0.1014,3.68460002204332,2.74667258027206,0.93792744177126,"","","","","","",""
"ALAHEC","CN(N=CC1=CC=C(S1)N(=O)=O)C(=O)CC1=CC=CS1",-7.82735491,-2.17473389,-0.38204785,0.0005,0.5262,3.69560002210913,2.76438338235054,0.931216639758589,"","","","","","",""
"ALAHIG","O=C(NN=CC1=CC=C(S1)N(=O)=O)C1=CC=CS1",-8.111986,-2.45528327,-0.87375757,0.0002,0.5615,3.54030002118004,2.652190297563,0.88810972361704,"","","","","","",""
"ALEVIW","c1ccc2c(c1)C(c1ccccc21)C1(c2ccc3c(c2)c2ccccc2C3=C2c3ccccc3c3ccccc23)c2ccccc2c2ccccc12",-6.74488601,-2.1276582,-0.39157183,0.6466,0.0009,2.84450001701738,1.72471853797797,1.1197814790394,"","","","","","",""
"ALIYOL","Fc1cc(C=C(C#N)c2ccc(cc2)C(F)(F)F)c(F)cc1C=C(C#N)c1ccc(cc1)C(F)(F)F",-8.02327688,-2.86563096,-1.5069665,1.7067,0.0608,3.4394000205764,2.62742222277585,0.81197779780055,"","","","","","",""
"ALOVII","Ic1ccccc1CNS(=O)(=O)c1ccc(cc1N(=O)=O)N(=O)=O",-8.37103838,-2.40902392,-1.62751294,0.0005,0.0036,3.83740002295744,3.22279889213716,0.614601130820289,"","","","","","",""
"ALOXAN14","O=C1NC(=O)C(=O)C(=O)N1",-9.74058739,-2.82046006,0.44164078,0.0,0.0,2.57530001540687,2.46146145476891,0.11383856063796,"","","","","","",""
"ALUJUO","CC1(C)C2=CC=C(N2)C(C)(C)C2=CC=C(N2)C(C)(C)C2=C(NC(=C2)C(C)(C)C2=CC=C1N2)N=Nc1ccc(cc1)N(=O)=O",-6.87794969,-2.17990406,-0.72327861,0.0206,1.0598,2.71710001625519,1.98807141094526,0.72902860530994,"","","","","","",""
"ALUSUX","CCCCNC(=O)c1cc(C(=O)NCCCC)c2C(=O)c3ccccc3C(=O)c2c1",-8.49784344,-2.32439651,-1.18804907,0.0,0.0007,3.14400001880915,3.34296436851774,-0.19896434970859,"","","","","","",""
"AMASOY","c1ccc2c(c1)c1ccccc1C2=NN=C1c2ccccc2c2ccccc12",-7.19550655,-2.26099398,-0.54368347,0.0232,0.1188,2.83610001696712,2.149650710571,0.68644930639612,"","","","","","",""
